Region and country of birth,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
REGION,,,,,,,
Total,"1,183,505","238,087","137,893","566,706","49,865","157,425","33,529"
Africa,"113,426","11,420","5,054","51,206","20,137","25,265",344
Asia,"462,299","108,734","81,288","180,168","15,503","62,895","13,711"
Europe,"93,567","6,380","21,323","49,513","11,949","4,197",205
North America,"427,293","96,604","18,330","231,712",714,"62,053","17,880"
Oceania,"5,588",458,"1,276","3,132",675,38,9
South America,"79,608","14,120","10,568","49,814",827,"2,934","1,345"
Unknown,"1,724",371,54,"1,161",60,43,35
COUNTRY,,,,,,,
Total,"1,183,505","238,087","137,893","566,706","49,865","157,425","33,529"
Afghanistan,"12,513",400,42,"1,081",127,686,"10,177"
Albania,"5,773",889,75,"2,918","1,730",155,6
Algeria,"2,180",169,62,674,"1,253",21,1
Angola,198,20,30,85,30,32,1
Anguilla,20,4, - ,15, - , - ,1
Antigua and Barbuda,324,91,15,217, - , - ,1
Argentina,"4,091",195,"1,343","2,341",31,101,80
Armenia,"3,543",304,102,"1,589","1,286",256,6
Aruba,23, D , D , D , - , - , - 
Australia,"3,239",67,"1,006","1,773",388, D , D 
Austria,432,15,149,233,27,5,3
Azerbaijan,784,54,56,354,232,87,1
Bahamas,656,52,60,532,5,5,2
Bahrain,138,28,62,36,5,7, - 
Bangladesh,"18,723","9,899",653,"7,841", D ,289, D 
Barbados,371,80,42,245, - , - ,4
Belarus,"2,127",109,285,751,792,188,2
Belgium,691,19,308,323,32,9, - 
Belize,851,183,46,586, D , D ,24
Benin,577,21,18,267,249,22, - 
Bermuda,99, D ,19,70, D , - , - 
Bhutan,"4,217",3,11,47,3,"4,153", - 
Bolivia,"1,595",287,109,"1,098",24,38,39
Bosnia and Herzegovina,971,126,72,642,61,65,5
Botswana,78,8,14,39,3,13,1
Brazil,"13,812",551,"3,489","9,438",14,152,168
Brunei,31,4,14,13, - , - , - 
Bulgaria,"2,670",163,281,"1,445",726,50,5
Burkina Faso,642,38,11,267,144,179,3
Burma,"13,065",569,61,777,125,"11,532",1
Burundi,415,9,11,58,58,278,1
Cabo Verde,"2,242","1,086",3,"1,145",3,4,1
Cambodia,"3,173",508,70,"2,239",287,63,6
Cameroon,"4,899",485,104,"1,936","1,664",701,9
Canada,"12,793",576,"5,221","6,665",62,73,196
Cayman Islands,55,8,3,38, - ,6, - 
Central African Republic,202,5, D ,26, D ,167, - 
Chad,136,6,4,27,15,84, - 
Chile,"1,698",81,381,"1,166",3,49,18
"China, People's Republic","81,772","17,294","19,942","31,658",28,"12,657",193
Colombia,"18,610","3,097","1,339","13,014",14,"1,008",138
"Congo, Democratic Republic","6,791",208,39,865,"2,839","2,840", - 
"Congo, Republic",625,6,11,97,46,460,5
Costa Rica,"2,224",148,237,"1,753",3,52,31
Cote d'Ivoire,"1,617",126,36,730,391,309,25
Croatia,388,20,72,254,29,13, - 
Cuba,"66,516","4,363",17,"4,555",538,"57,036",7
Curacao,35,4,4,22, - ,5, - 
Cyprus,131,7,23,80,12,9, - 
Czechia,650,9,151,445,38,5,2
Czechoslovakia (former),62, D ,11,42, - , D ,4
Denmark,521,14,243,243,17,3,1
Djibouti,281,7,4,54,24,191,1
Dominica,298,155,4,136,3, - , - 
Dominican Republic,"61,161","28,375",330,"32,191",3,111,151
Ecuador,"10,757","3,043",671,"6,246", - ,235,562
Egypt,"12,045",941,881,"3,899","3,476","2,826",22
El Salvador,"23,449","6,573","1,860","12,516", - ,897,"1,603"
Equatorial Guinea,18, D , - ,14, - , D , - 
Eritrea,"2,267",178,29,678,134,"1,247",1
Estonia,211, D ,38,140,18, D , - 
Ethiopia,"13,232","1,993",190,"5,372","2,096","3,569",12
Fiji,866,296,14,341,181,33,1
Finland,489,12,225,215,35, - ,2
France,"5,159",186,"2,418","2,233",276,37,9
French Polynesia,27, - , D ,21, D , - , - 
Gabon,165, D ,9,108,13,32, D 
Gambia,"1,247",104,18,850,19,242,14
Georgia,"1,635",142,82,900,445,64,2
Germany,"5,306",171,"1,653","3,019",409,42,12
Ghana,"6,949","1,151",252,"4,962",478,90,16
Greece,"1,451",59,340,916,117,18,1
Grenada,585,78,29,464, D , D ,9
Guatemala,"13,002","2,438","1,530","6,295",13,"1,162","1,564"
Guinea,"1,501",122,16,743,245,352,23
Guinea-Bissau,37,4, D ,28, - , D , - 
Guyana,"5,771","3,256",57,"2,399",4,21,34
Haiti,"23,584","8,807",169,"13,576", - ,948,84
Honduras,"13,302","2,284","1,316","8,379",28,469,826
Hong Kong,"2,510",943,692,801,47,25,2
Hungary,"1,048",23,264,653,94,13,1
Iceland,97, D , D ,57, - , - , - 
India,"64,687","18,230","20,747","24,246",28,"1,068",368
Indonesia,"2,129",187,382,"1,324",37,173,26
Iran,"13,298","2,523","1,600","3,172","2,883","3,111",9
Iraq,"18,904",279,72,"1,310",103,"15,026","2,114"
Ireland,"1,759",40,666,993,51,4,5
Israel,"4,142",174,"1,704","2,119",102,33,10
Italy,"4,078",146,"1,320","2,106",273,228,5
Jamaica,"23,350","5,831",823,"16,587", D , D ,55
Japan,"5,207",167,"1,650","3,203",170,8,9
Jordan,"5,269","1,360",311,"3,199",102,284,13
Kazakhstan,"1,310",64,155,588,359,144, - 
Kenya,"6,274",399,423,"2,810","1,039","1,574",29
"Korea, North",47, D , D ,27, - ,12, - 
"Korea, South","21,801","1,250","13,463","7,053",7,9,19
Kosovo,"1,020",121,22,605,180,91,1
Kuwait,"1,186",192,197,473,57,262,5
Kyrgyzstan,847,42,47,328,228,201,1
Laos,856,105,12,720, - ,18,1
Latvia,391,34,59,264,31, D , D 
Lebanon,"2,971",793,349,"1,668",47,109,5
Lesotho,19, D , - ,15, - , D ,1
Liberia,"3,619",326,30,"1,504","1,403",352,4
Libya,642,34,66,328,75,135,4
Lithuania,735,53,60,476,140, D , D 
Luxembourg,34,3,16,12, D , D , - 
Macau,109,30,45,28,6, - , - 
Macedonia,"1,262",204,42,730,266,17,3
Madagascar,88, D ,18,42,20, D , - 
Malawi,205,11,23,104,7,59,1
Malaysia,"3,382",181,552,781,37,"1,822",9
Maldives,11, D , D ,7, - , D , - 
Mali,598,30,26,326,26,168,22
Malta,65, - ,9,26, - ,30, - 
Marshall Islands,32, D , - , D , - , - , D 
Mauritania,317,16,16,127,6,151,1
Mauritius,110,11,38,51,10, - , - 
Mexico,"174,534","34,718","6,078","119,541",11,"1,042","13,144"
"Micronesia, Federated States",11, - , - , D , D , - , - 
Moldova,"2,929",149,102,814,"1,435",428,1
Monaco,11, D ,4,4, D , - , - 
Mongolia,750,29,112,354,135,106,14
Montenegro,387,94,11,261,8,9,4
Montserrat,14, D , - ,8, D , - , - 
Morocco,"4,586",421,152,"2,958","1,025",21,9
Mozambique,101,3,8,37, - ,53, - 
Namibia,87, D ,12,31, D ,41, - 
Nepal,"12,851",994,"1,386","2,989","3,242","4,209",31
Netherlands,"1,319",39,542,683,43,9,3
Netherlands Antilles (former),18, D , D ,13, D , - , - 
New Zealand,846,35,234,484,90, D , D 
Nicaragua,"3,486",778,75,"2,401",10,121,101
Niger,119,8,12,86,13, - , - 
Nigeria,"14,380","2,313",958,"10,914",20,133,42
Norway,362,21,104,231, D , D , - 
Oman,116,24,35,27,12,17,1
Pakistan,"19,313","7,121","1,992","9,272",10,887,31
Palau,14, D , - , D , - , - , - 
Panama,"1,029",146,96,760,4,17,6
Papua New Guinea,23, D ,5,13, D , - , - 
Paraguay,434,30,46,337, - ,17,4
Peru,"10,940","2,687",462,"7,425",8,140,218
Philippines,"53,287","14,857","7,657","30,345",9,17,402
Poland,"5,603",887,798,"3,512",363,11,32
Portugal,"1,006",62,197,704,18,15,10
Qatar,272,51,54,106,43,18, - 
Romania,"3,554",270,562,"2,224",403,91,4
Russia,"9,297",555,"1,627","4,781","1,815",499,20
Rwanda,"1,357",20,20,100,258,956,3
Saint Kitts and Nevis,250,74,4,172, - , - , - 
Saint Lucia,777,104,32,628, D , D , D 
Saint Vincent and the Grenadines,422,75,28,314, D , D ,1
Samoa,219, D , D ,211, - , - , - 
Sao Tome and Principe,12, D , D ,9, - , - , - 
Saudi Arabia,"2,117",316,318,901,271,307,4
Senegal,"1,533",137,63,"1,085",117,86,45
Serbia,"1,351",108,122,859,239,22,1
Serbia and Montenegro (former),202,7,36,98, - ,56,5
Seychelles,16, D , D ,10, - , - , - 
Sierra Leone,"1,535",128,10,949,324,121,3
Singapore,812,42,431,316,15,5,3
Sint Maarten,42, - ,6,33, - ,3, - 
Slovakia,483,19,89,339,28,7,1
Slovenia,119, D ,35,69,9,3, D 
Somalia,"6,958",177,13,"1,489",80,"5,199", - 
South Africa,"3,023",112,932,"1,433",231,307,8
South Sudan,124,3, - ,100,7,14, - 
Soviet Union (former),"1,042",16,153,568,4,296,5
Spain,"3,519",118,"1,321","1,383",151,540,6
Sri Lanka,"1,913",254,477,634,296,241,11
Sudan,"3,159",111,28,726,"1,256","1,037",1
Suriname,156,44,9,97, D , D , - 
Swaziland,20, - , D , D , D , - , - 
Sweden,"1,144",27,444,617,46,7,3
Switzerland,743,21,291,369,45,16,1
Syria,"4,800","1,170",241,"1,850",114,"1,416",9
Taiwan,"5,120",841,"2,083","2,052",137, D , D 
Tajikistan,593,29,52,179,289,42,2
Tanzania,788,51,59,420,28,226,4
Thailand,"7,039",300,362,"3,612",32,"2,651",82
Togo,"1,938",201,11,899,710,114,3
Tonga,283,48,8,221,4, - ,2
Trinidad and Tobago,"3,469",614,242,"2,556",21,5,31
Tunisia,518,17,55,366,64,14,2
Turkey,"4,469",227,"1,154","1,900","1,000",179,9
Turkmenistan,235,15,29,98,75,18, - 
Turks and Caicos Islands,39,5, D ,28, D , D , - 
Uganda,"1,649",86,109,663,152,623,16
Ukraine,"10,422",986,930,"5,404","1,915","1,175",12
United Arab Emirates,"1,370",247,382,388,137,197,19
United Kingdom,"12,673",565,"5,132","6,848",76,28,24
United States,468, D ,30,364, D ,30,28
Uruguay,972,31,112,763,4,33,29
Uzbekistan,"4,359",588,133,903,"2,500",225,10
Venezuela,"10,772",818,"2,550","5,490",724,"1,135",55
Vietnam,"41,451","21,845","1,261","18,172", - ,115,58
"Virgin Islands, British",40,8,5,27, - , - , - 
Yemen,"13,040","4,049",26,"8,407",421,134,3
Zambia,487,22,78,280,15,91,1
Zimbabwe,815,76,143,399,66,123,8
All other countries 1,52, D ,10,28,6, D , - 
Unknown,"1,724",371,54,"1,161",60,43,35