Geographic area,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total,"1,052,415","1,107,126","1,130,818","1,042,625","1,062,040","1,031,631","990,553","1,016,518","1,051,031","1,183,505"
"New York-Newark-Jersey City, NY-NJ-PA","177,468","181,765","191,536","187,680","185,274","180,591","168,731","174,723","162,168","195,593"
"Los Angeles-Long Beach-Anaheim, CA","95,409","96,489","97,537","87,442","86,160","81,508","79,892","80,527","82,979","88,743"
"Miami-Fort Lauderdale-West Palm Beach, FL","78,171","87,787","83,932","69,419","71,773","66,152","66,634","72,038","77,647","88,651"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","40,795","42,936","42,629","41,399","39,411","38,576","39,232","39,532","37,340","40,642"
"Chicago-Naperville-Elgin, IL-IN-WI","39,503","39,821","38,837","35,109","35,039","34,898","32,819","33,038","36,658","39,749"
"Houston-The Woodlands-Sugar Land, TX","26,817","30,500","32,006","30,833","31,129","31,728","31,949","33,856","34,591","37,777"
"San Francisco-Oakland-Hayward, CA","35,640","36,113","32,302","31,760","32,433","29,583","30,600","32,904","34,152","36,476"
"Dallas-Fort Worth-Arlington, TX","23,332","26,536","29,111","26,071","28,170","28,081","26,810","28,780","29,660","33,605"
"Boston-Cambridge-Newton, MA-NH","24,674","24,684","26,342","24,970","25,911","25,044","23,866","24,026","22,836","28,677"
"Atlanta-Sandy Springs-Roswell, GA","22,073","22,339","23,360","20,460","22,038","21,299","20,065","19,626","20,875","23,620"
"Seattle-Tacoma-Bellevue, WA","16,802","17,060","20,687","16,846","17,814","17,642","17,864","17,527","19,007","20,582"
"San Jose-Sunnyvale-Santa Clara, CA","19,255","21,022","18,677","18,619","18,554","16,937","17,292","18,590","19,866","19,790"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","18,455","18,914","18,936","18,253","18,924","17,905","18,121","17,665","18,210","19,318"
"San Diego-Carlsbad, CA","18,286","20,487","20,776","19,764","21,550","18,893","16,567","17,670","18,524","18,690"
"Riverside-San Bernardino-Ontario, CA","16,769","17,790","17,007","14,925","14,884","14,547","14,027","13,362","15,912","16,559"
"Detroit-Warren-Dearborn, MI","12,876","11,801","12,856","12,682","12,198","11,597","11,131","12,814","12,302","15,864"
"Phoenix-Mesa-Scottsdale, AZ","11,354","13,525","13,700","12,239","14,012","12,804","11,024","11,956","12,364","14,485"
"Orlando-Kissimmee-Sanford, FL","14,618","13,956","11,408","10,676","10,204","10,229","10,200","10,217","10,730","13,273"
"Minneapolis-Saint Paul-Bloomington, MN-WI","11,934","13,439","15,001","10,472","10,195","10,698","10,504","11,202","11,655","12,233"
"Tampa-Saint Petersburg-Clearwater, FL","10,730","10,089","10,296","8,818","8,996","8,700","8,360","9,647","11,040","11,792"
"Sacramento--Roseville--Arden-Arcade, CA","9,764","9,440","9,366","8,050","8,486","7,978","7,516","8,724","8,940","11,306"
"Las Vegas-Henderson-Paradise, NV","10,373","9,507","10,307","9,004","8,719","8,785","8,381","8,652","9,394","9,832"
"Denver-Aurora-Lakewood, CO","7,384","8,408","8,468","8,215","9,189","8,967","7,498","7,375","8,549","9,738"
"Baltimore-Columbia-Towson, MD","6,898","8,217","8,266","8,212","8,229","8,611","8,598","8,437","7,550","8,599"
"Portland-Vancouver-Hillsboro, OR-WA","6,882","7,604","7,841","6,727","6,466","6,349","5,933","6,228","7,225","8,443"
"Austin-Round Rock, TX","4,550","5,796","5,693","5,431","6,067","5,894","6,015","6,134","6,812","8,336"
"Charlotte-Concord-Gastonia, NC-SC","4,538","4,600","5,326","4,634","5,462","5,867","5,462","5,421","5,790","6,693"
"San Antonio-New Braunfels, TX","4,142","4,865","4,916","4,738","5,420","5,709","5,081","5,404","5,721","6,462"
"Columbus, OH","4,777","5,409","6,021","4,467","4,964","5,139","4,875","5,287","5,860","6,443"
"Providence-Warwick, RI-MA","4,426","4,689","5,187","4,912","4,675","4,787","4,263","4,193","4,538","5,363"
"Indianapolis-Carmel-Anderson, IN","2,764","3,441","4,197","3,650","3,967","4,380","3,989","4,251","4,360","5,241"
"Nashville-Davidson--Murfreesboro--Franklin, TN","4,291","3,940","4,578","3,984","4,215","4,359","4,358","4,584","4,735","5,218"
"El Paso, TX","4,020","4,767","4,610","4,670","5,667","5,461","5,284","4,403","4,814","5,082"
"Bridgeport-Stamford-Norwalk, CT","5,148","4,660","5,333","4,587","4,651","4,640","4,468","4,413","4,260","4,810"
"Urban Honolulu, HI","5,507","5,022","4,999","5,169","5,550","5,020","4,656","4,358","4,731","4,735"
"Raleigh, NC","3,435","3,432","4,072","3,909","3,793","3,746","3,798","4,028","4,199","4,625"
"Salt Lake City, UT","2,918","3,571","4,157","3,803","4,298","3,702","3,328","3,967","4,503","4,493"
"Kansas City, MO-KS","3,137","3,757","4,074","4,283","4,097","3,829","3,688","3,654","4,116","4,473"
"Jacksonville, FL","3,656","3,475","3,659","3,503","3,453","3,365","3,170","3,266","3,296","4,306"
"Louisville/Jefferson County, KY-IN","2,280","2,967","2,968","2,718","2,653","2,634","2,601","3,209","3,057","4,126"
"Cincinnati, OH-KY-IN","3,087","2,866","2,971","2,798","2,841","2,687","2,757","2,999","3,169","4,001"
"Hartford-West Hartford-East Hartford, CT","3,901","3,754","4,216","3,869","4,090","4,059","3,373","3,439","3,446","3,925"
"Stockton-Lodi, CA","3,551","3,510","3,250","3,019","2,901","2,935","2,599","2,983","3,151","3,600"
"Fresno, CA","4,124","4,472","3,567","3,010","3,073","2,894","2,853","2,878","3,212","3,591"
"Worcester, MA-CT","3,077","3,050","3,301","3,396","3,453","3,300","2,945","2,982","3,010","3,575"
"Cleveland-Elyria, OH","3,135","3,084","3,081","3,111","2,883","3,111","3,076","3,074","3,124","3,315"
"Bakersfield, CA","2,896","3,524","3,146","2,693","2,554","2,604","2,527","2,545","2,775","3,312"
"McAllen-Edinburg-Mission, TX","2,576","3,229","3,143","2,654","3,409","3,617","3,267","3,045","3,054","3,308"
"Cape Coral-Fort Myers, FL","2,884","2,650","2,565","2,250","2,170","2,075","2,004","2,164","2,758","3,223"
"San Juan-Carolina-Caguas, PR","2,568","2,947","3,740","3,893","2,930","2,833","2,687","2,436","3,012","3,222"
Other CBSAs,"191,574","205,592","212,595","195,972","204,217","201,887","191,470","189,008","204,931","227,331"
Other metropolitan areas,"167,958","179,227","184,977","171,672","179,220","176,880","167,753","166,158","179,093","199,039"
Other micropolitan areas,"23,616","26,365","27,618","24,300","24,997","25,007","23,717","22,850","25,838","28,292"
Non-CBSA,"13,165","13,806","14,255","12,846","12,820","12,992","12,300","13,232","14,170","14,823"
Unknown,26,22,14,11,9,3,45,45,253,"1,836"